,features,counts
410,make,1.3133637565220904
411,row,1.3067768152843708
412,memory,1.302401209476789
413,var,1.2998269920304295
414,weight,1.2991996374822432
415,validation,1.2928544387525753
416,call,1.2897388935936063
417,tol,1.2877244933586238
418,up,1.285562562883715
419,categories,1.283632188939156
420,\,1.28344655398115
421,idx,1.2811525215452977
422,over,1.2789346934877577
423,verbose,1.2779140867632475
424,'.format,1.2759911336119723
425,params,1.2720190222011403
426,term,1.2694906329713214
427,https,1.268510904993625
428,time.time,1.2681539493218867
429,very,1.267964953013347
430,curve,1.266358337518813
431,random_state=random_state,1.2631794892461266
432,axis,1.2610697293420394
433,arguments,1.2564301168429546
434,clf.fit,1.2530907424388182
435,split,1.2468106500005947
436,there,1.2462364178428276
437,u,1.2450410555034552
438,.5,1.2431029578539359
439,default=none,1.2399409204277172
440,attribute,1.234810128306434
441,functions,1.231480978555335
442,probabilities,1.2304152946470568
443,probability,1.22777817455077
444,out,1.226435883156313
445,0.,1.2230427938636597
446,read,1.2226776753936606
447,sklearn.model_selection,1.222189847026469
448,without,1.2208685067617464
449,n_neighbors,1.2172314495320138
450,xy,1.2158713990658827
451,baseestimator,1.2149206096127991
452,local,1.2130059509655755
453,gamma,1.2126037030911458
454,get,1.2125939711605527
455,gaussian,1.2099141838509486
456,passed,1.2028662882890198
457,axis=1,1.202299086032093
458,examples,1.2000629777786416
459,outliers,1.1947012900803498
460,expression,1.1834103179339166
461,files,1.181252822520878
462,available,1.1807166482637783
463,arg,1.1791702321574924
464,guide,1.1742506353565005
465,zero,1.1652832002591054
466,parallel,1.1642992645233152
467,self.fail,1.1635551836564055
468,since,1.1612809710974261
469,methods,1.1603126314105405
470,information,1.1576729225626452
471,todo,1.1576603806678705
472,*args,1.153076994193392
473,max_iter,1.1513667409002857
474,references,1.1487965785162693
475,accuracy,1.1477641337280664
476,models,1.1379587060274134
477,g,1.1363216494096273
478,continue,1.1335080580013497
479,update,1.1322536389568625
480,ndarray,1.1310006529413343
481,setting,1.1306513478023754
482,np.newaxis,1.129151638256588
483,np.sum,1.1235454577904358
484,regularization,1.122124858393577
485,integer,1.1218340881587017
486,dimensionality,1.1208335601126107
487,average,1.1187774484890776
488,res,1.1178652871181165
489,dtype,1.114223824789464
490,0.0,1.1138951994550224
491,after,1.111411212421058
492,single,1.1104820383246448
493,cache,1.1094122554208685
494,check_is_fitted,1.1091291282283202
495,such,1.104115281119162
496,iris.data,1.0989663832602414
497,modules,1.0988270449929733
498,version,1.0984716154773315
499,init,1.0968011939140059
500,versionadded,1.0959174755535397
501,y_true,1.091987087130224
502,check_random_state,1.0881798186249656
503,component,1.0814671554666706
504,binary,1.0812258282224698
505,rows,1.0791941527407811
506,callabletype,1.0787436561599049
507,like,1.072128528491254
508,clf.predict,1.0698100777932689
509,rbf,1.0673600916903514
510,positive,1.0644519940797619
511,xt,1.060573836805673
512,ind,1.0582679213888422
513,need,1.0553136414013555
514,help=,1.0491680181680445
515,connectivity,1.0447105156545502
516,|,1.0443394131149686
517,union,1.0438514822748974
518,response,1.0433932733278328
519,too,1.0414256962763402
520,scale,1.0410657874560625
521,boosting,1.0401546550234024
522,lower,1.0389259476463233
523,location,1.0373559706583635
524,dictionary,1.0350252639018938
525,uses,1.0341766722023833
526,estimate,1.0317865533851376
527,add,1.0314819736481944
528,both,1.0253429654415176
529,.base,1.0221057544477063
530,exception,1.0206680137775233
531,linearsvc,1.020594700867435
532,iris.target,1.0203952216605703
533,provided,1.0195780812366306
534,centers,1.0152454151820403
535,instead,1.0123461249070764
536,logistic,1.0065510464322478
537,mapping,1.0049256277433984
538,x.,0.9985293009534076
539,id,0.9976097051420123
540,transformation,0.9966244637205414
541,block,0.9966003563983246
542,.t,0.9944286812598683
543,template,0.9935725018866279
544,objects,0.9910949625152133
545,level,0.9883627579361278
546,ignored,0.9879815192251017
547,fitting,0.9873653552943744
548,avoid,0.9868728471860027
549,cls,0.9863156151610414
550,0.1,0.9826380185205202
551,done,0.9802671670488466
552,constant,0.9755741136618877
553,y=none,0.9734929238728414
554,based,0.9692796053735014
555,arrays,0.9676895648855721
556,remove,0.966061033548783
557,patches,0.9655468730672758
558,'auto,0.9653120307015784
559,now,0.9651953740333572
560,mode,0.9649736074540224
561,valid,0.9620053975388234
562,iterable,0.9618989181532712
563,message,0.9612042447702223
564,exists,0.9599580334426484
565,expected,0.952928988668704
566,equal,0.951276188146096
567,semantic,0.9487326157442286
568,copy,0.9471181052186203
569,text,0.9442487201134813
570,actual,0.9424218207814947
571,standard,0.9400381952721375
572,before,0.9365241546563338
573,supported,0.935138346475038
574,during,0.9344241495595309
575,generated,0.9344054533037675
576,estimated,0.9338915271242595
577,they,0.9316272973594358
578,transformer,0.929988549729636
579,rank,0.9262673496846301
580,mypyfile,0.9251974049195205
581,yield,0.9249224589766667
582,7,0.9224462547547692
583,abstractmethod,0.9190550014078812
584,1.,0.9185464323464931
585,eps,0.918325427268727
586,self.n_components,0.9181632545866447
587,getattr,0.916961266210883
588,selection,0.9153435695511627
589,perform,0.914932522493549
590,being,0.914697197979132
591,min,0.9138266515831838
592,map,0.9115835237275245
593,np.random.randomstate,0.9105098999933214
594,2d,0.9096985930200187
595,always,0.9096754492604285
596,gmail.com,0.9092532222000732
597,tupletype,0.908162827741716
598,iteration,0.908027492015416
599,precomputed,0.907297687189919
600,problem,0.8985884851165999
601,top,0.8949813836250715
602,http,0.890969207470339
603,because,0.8881846280402067
604,process,0.8864377643221282
605,pred,0.8860095772756392
606,shuffle,0.8849884747140256
607,fit_intercept,0.8842198950666065
608,least,0.8787389246088685
609,ridge,0.8783292376809017
610,seed,0.8768257472301739
611,projection,0.8766800283227983
612,coef_,0.8750802992430025
613,2.,0.8702642243014057
614,following,0.8686922486079874
615,svd,0.8665013909510614
616,format,0.8662832673078376
617,break,0.8654587187023884
618,within,0.8633061448154096
619,assert_array_almost_equal,0.8628789348023069
620,targets,0.8616184478203044
621,state,0.8612987020551254
622,was,0.8606860310680585
623,err,0.8589115850944095
624,either,0.8587799812018705
625,api,0.856833740263858
626,scipy,0.8524076268351
627,deprecated,0.8514070065473891
628,scope,0.8506222475334922
629,performance,0.8503944630826207
630,total,0.8502842495969726
631,scorer,0.8499016527911487
632,squared,0.8495093079150591
633,current,0.8492789815305282
634,class_weight,0.8486142314219034
635,most,0.8480690089788135
636,sequence,0.846708852053746
637,warning,0.8443353473859383
638,weighted,0.8427287613401109
639,them,0.8426692574518048
640,might,0.841140282887637
641,called,0.8386544337970447
642,details,0.8318518656522128
643,got,0.8315141548426727
644,rng,0.8310414893635208
645,intercept,0.8294309647005939
646,-2,0.8289841639639337
647,small,0.828641651519118
648,structure,0.8284614649658941
649,lambda,0.8282841272151853
650,form,0.8280769915641057
651,metrics,0.8265854035599195
652,log,0.82479836945409
653,report,0.8232425005188935
654,stopping,0.8214602280645947
655,large,0.8210754213673948
656,iterator,0.8201867205778915
657,norm,0.8170030142047472
658,i.e,0.8105766039206571
659,minimum,0.8090845542904888
660,notes,0.7997131642985233
661,take,0.796286821019124
662,subset,0.7961666165337171
663,those,0.795218844447411
664,default=false,0.7947043257167231
665,returned,0.7943784108512459
666,np.mean,0.7885025153968963
667,would,0.784125969183055
668,estimates,0.7824405058557578
669,random_state=none,0.7802108055725714
670,assert_array_equal,0.7792323991649619
671,subtype,0.7790307011347402
672,np.sqrt,0.7785118891202749
673,clone,0.778449009326816
674,shape=,0.7755201601377353
675,otherwise,0.7743488466479271
676,handle,0.7735679071185751
677,prefix,0.7659813102066563
678,their,0.7650224227231948
679,below,0.7624195439838696
680,could,0.7606319859344038
681,authors,0.7601111979811676
682,about,0.7590631987330004
683,&,0.7568905657029922
684,want,0.7564531456382428
